,gen_title,title,model_answer_main_query,bing_return,model_ans_1,model_ans_2,model_ans_3,neural_ans1_list,neural_ans1_prob,neural_ans2_list,neural_ans2_prob,neural_ans3_list,neural_ans3_prob,neural_ans4_list,neural_ans4_prob
0,Computer Forensics and System Investigations,Computer forensics: System forensics,"

1. ""Computer Forensics and System Investigations""
2. ""The Memory Forensic Investigation: A guide to digital evidence discovery""
3. ""Advanced System Forensics and Investigations""
4. ""Network Forensics: Tracking Hackers Through Cyberspace"" 
5.  ""Mastering Windows Network Forensics and Investigation""",False," Rich Collins, Wallace J. Wilson"," John R. Vacca, Jeremy Farlow"," Bill Nelson, Amelia Phillips, Frank Enfinger","[' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0,"['\nNo', '\nNo', '\nNo.', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo']",0.0,"['\nYes', '\n\nYes', ' \n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes.']",1.0
1,The Memory Forensic Investigation: A guide to digital evidence discovery,Computer forensics: System forensics,"

1. ""Computer Forensics and System Investigations""
2. ""The Memory Forensic Investigation: A guide to digital evidence discovery""
3. ""Advanced System Forensics and Investigations""
4. ""Network Forensics: Tracking Hackers Through Cyberspace"" 
5.  ""Mastering Windows Network Forensics and Investigation""",False," Harlan Carvey, John McCashin"," Harlan Carvey, Robert M. Lee"," Vico Marziale, David Cowen","[' 25% JUSTIFICATION: There is only one author in common between the two lists.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.']",0.08333333333333333,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0,"['\nNo', '\nNo', '\nNo', '\nNo', '\nYes', '\nNo.', '\nNo', '\nNo', '\nNo', '\nNo']",0.1,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', ' \nYes']",1.0
2,Advanced System Forensics and Investigations,Computer forensics: System forensics,"

1. ""Computer Forensics and System Investigations""
2. ""The Memory Forensic Investigation: A guide to digital evidence discovery""
3. ""Advanced System Forensics and Investigations""
4. ""Network Forensics: Tracking Hackers Through Cyberspace"" 
5.  ""Mastering Windows Network Forensics and Investigation""",False," Tom Baltazar, Eugene Schultz, Matthew Peglegrave, Eric Cole."," Nicola Srv, Stuart Sim, Mike Walls"," Michael G. Solomon, Mark Clancy, Robert M. Slade","[' 0 JUSTIFICATION: None of the authors in list 1 appear in list 2.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: None of the authors in list 1 appear in list 2.']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0,"['\nNo.', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', ' \n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0
3,Network Forensics: Tracking Hackers Through Cyberspace,Computer forensics: System forensics,"

1. ""Computer Forensics and System Investigations""
2. ""The Memory Forensic Investigation: A guide to digital evidence discovery""
3. ""Advanced System Forensics and Investigations""
4. ""Network Forensics: Tracking Hackers Through Cyberspace"" 
5.  ""Mastering Windows Network Forensics and Investigation""",True," Sherri Davidoff, Jonathan Ham, Erica Cowell"," Sherri Davidoff, Jonathan Ham, Amanda Rousseau"," Laura Chappell, Steve Anson","[' 66% JUSTIFICATION: There are 3 authors in each list, and 2 of them are the same. 66% of the authors are the same.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.']",0.22,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0,"['\nNo.', '\nNo', '\nNo', '\nNo', '\nNo.', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo']",0.0,"['\n\nYes.', '\n\nYes', ' \n\nYes', '\n\nYes', '\n\nYes', '\nYes', '\n\nYes', '\n\nYes', '\n\nYes.', '\n\nYes']",1.0
4,Mastering Windows Network Forensics and Investigation,Computer forensics: System forensics,"

1. ""Computer Forensics and System Investigations""
2. ""The Memory Forensic Investigation: A guide to digital evidence discovery""
3. ""Advanced System Forensics and Investigations""
4. ""Network Forensics: Tracking Hackers Through Cyberspace"" 
5.  ""Mastering Windows Network Forensics and Investigation""",True," Kevin Ballast, Narendra Bhati"," Monirul Khan, Amiya Nayak"," Warren G. G. Kantor, Robbie Harding","[' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any overlapping authors.']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0,"['\nNo.', '\nNo', '\nYes', '\nYes', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo']",0.2,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\nYes', '\n\nYes', '\n\nYes.', '\n\nYes', '\n\nYes', '\n\nYes']",1.0
5,"Distributed Computing: Fundamentals, Simulations, and Advanced Topics",Architectures: Distributed architectures,"

1. Distributed Computing: Fundamentals, Simulations, and Advanced Topics
2. Building Distributed Systems: Concepts and Examples
3. Distributed Computing Through Combinatorial Topology
4. Distributed Systems: Principles and Paradigms
5. Distributed and Cloud Computing: From Parallel Processing to the Internet of Things",True," M. Frans Kaashoek, Andrew S. Tanenbaum"," Hagit Attiya, Jennifer Welch","M Hagit Attiya, Jennifer L Welch","[' 0 JUSTIFICATION: These are not lists of authors.', ' 0 JUSTIFICATION: The two lists do not contain any overlapping authors.', ' 100% JUSTIFICATION: Both lists contain the same authors with the same spelling.']",0.3333333333333333,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0,"['\nNo.', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\n\nNo', '\nNo', '\nNo']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\nYes', '\n\nYes']",1.0
6,Building Distributed Systems: Concepts and Examples,Architectures: Distributed architectures,"

1. Distributed Computing: Fundamentals, Simulations, and Advanced Topics
2. Building Distributed Systems: Concepts and Examples
3. Distributed Computing Through Combinatorial Topology
4. Distributed Systems: Principles and Paradigms
5. Distributed and Cloud Computing: From Parallel Processing to the Internet of Things",False," Steve Mauro, Stephen A. Thomas"," Maarten van Steen, Andrew S Tanenbaum","
Patrick M. sen Ditmarsch, Frances cleary, Harry M. Sneed","[' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The first list is not a list of authors.', ' 0 JUSTIFICATION: The first list is not a list of authors.']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0,"['\nNo', '\nNo', '\nNo.', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', ' \n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0
7,Distributed Computing Through Combinatorial Topology,Architectures: Distributed architectures,"

1. Distributed Computing: Fundamentals, Simulations, and Advanced Topics
2. Building Distributed Systems: Concepts and Examples
3. Distributed Computing Through Combinatorial Topology
4. Distributed Systems: Principles and Paradigms
5. Distributed and Cloud Computing: From Parallel Processing to the Internet of Things",True," R. Chamberland, S. Akl."," Arnold L. Rosenberg, David E. B. Sizophar"," Fan Chung, Ronald L. Graham","[' 0 JUSTIFICATION: Neither of the given inputs are lists of authors.', ' 0 JUSTIFICATION: The second list is not a list of authors.', ' 0 JUSTIFICATION: The two lists do not contain any overlapping authors.']",0.0,"['\n\nNo', ' \n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo', '\n\nNo.', '\n\nNo', '\n\nNo', ' \n\nNo']",0.0,"['\nNo', '\nNo', '\nNo.', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0
8,Distributed Systems: Principles and Paradigms,Architectures: Distributed architectures,"

1. Distributed Computing: Fundamentals, Simulations, and Advanced Topics
2. Building Distributed Systems: Concepts and Examples
3. Distributed Computing Through Combinatorial Topology
4. Distributed Systems: Principles and Paradigms
5. Distributed and Cloud Computing: From Parallel Processing to the Internet of Things",True," Andrew Tanenbaum, Maarten van Steen"," Andrew S. Tanenbaum, Maarten Van Steen"," Maarten van Steen, Andrew Tanenbaum","[' 100% JUSTIFICATION: Both lists contain the same authors with minor variations in spelling.', ' 100% JUSTIFICATION: The two lists are identical.', ' 100% JUSTIFICATION: Both lists contain the same two authors in the same order.']",1.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0,"['\nYes', '\nNo', '\nYes', '\nYes', '\nYes', '\nYes', '\nYes', '\nYes', '\nYes', '\nYes']",0.9,"['\n\nYes.', '\n\nYes', ' \n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0
9,Distributed and Cloud Computing: From Parallel Processing to the Internet of Things,Architectures: Distributed architectures,"

1. Distributed Computing: Fundamentals, Simulations, and Advanced Topics
2. Building Distributed Systems: Concepts and Examples
3. Distributed Computing Through Combinatorial Topology
4. Distributed Systems: Principles and Paradigms
5. Distributed and Cloud Computing: From Parallel Processing to the Internet of Things",True," Kai Hwang, Jack Dongarra, Geoffrey C. Fox, Steven A. Hofmeyr, Piyush Mehrotra"," Kai Hwang, Jack Dongarra, Peter Reiher, Gueyoung Park"," Ka Yee Yeung, Richard Yang and Kazuo Iwano","[' 75% JUSTIFICATION: There are 4 authors in the first list and 5 authors in the second list. 3 of the authors are the same, so the overlap is 75%.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.', ' 0 JUSTIFICATION: The two lists do not contain any of the same authors.']",0.25,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0,"['\nNo.', '\nNo', '\nNo.', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo', '\nNo']",0.0,"['\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes', '\n\nYes']",1.0
