gen_title,bing_return
"Introduction to Autonomous Robots: Mechanisms, Sensors, Actuators, and Algorithms",True
Adaptive Design Techniques for Cross-Device Computing: A Guide to Responsive and Fluid UIs,False
Analog MOS Integrated Circuits for Signal Processing,True
Investigating the Determinants of E-commerce Adoption among Small and Medium Enterprises,False
Timing Aware Placement and Routing in FPGAs,False
The Software Engineering Process: Principles and Practice,False
Physical Verification Tools for Hardware Security Validation: A Review,False
Questionnaire Design: A Comprehensive Guide for the Survey Researcher,False
Cryptography and Network Security: Principles and Practice,True
Programming Languages for Real-Time Systems,True
A Secure and Privacy-Preserving Protocol for Outsourcing Large-Scale Matrix Multiplications in Cloud Computing,False
"The Psychology of Law: Human Behavior, Legal Institutions, and Law",True
A Unifying Theory of Trust and Security in Distributed Systems,False
A Practical Guide to Parallel Algorithms and Computing,False
Challenges and Solutions in Application-Specific VLSI System Design,False
Emerging Interfaces: Human-Computer Interaction and the Internet of Things,False
Computer Forensics: Incident Response Essentials,True
Design of Integrated Circuits for Digital Switching Systems,False
Algebraic Topology: A First Course,True
Malware Mitigation for Industrial Control Systems,False
Forecasting: Methods and Applications,True
Derandomization in Computational Complexity,False
Building Secure Software: How to Avoid Security Problems the Right Way,True
Software Security: Building Security In,True
Optimization of Redundancy for Reliable and Time-Predictable Distributed Embedded Systems,False
Advanced Optical and Wireless Communications Systems: Technologies and Applications,False
Fundamentals of Aerodynamics,True
The Turn: Integration of Information Seeking and Retrieval in Context,True
Understanding Media: The Extensions of Man,True
Computer Forensics and Cyber Crime: An Introduction,True
"Elements of Statistical Learning: Data Mining, Inference, and Prediction",True
Mobile Information Systems: Infrastructure and Design for Adaptivity and Flexibility,True
Elements of Modal and Temporal Logic,False
Designing and Managing the Digital Firm,False
Automatic Synthesis of Digital Electronic Circuits,False
Energy Efficient Thermal Management of Data Centers,True
Clean Code: A Handbook of Agile Software Craftsmanship,True
Formal Languages and Their Relation to Automata,True
The Contribution of Geophysical Techniques to Archaeology: An Overview,False
A First Course in Probability,True
A Typology of Surveys: Observational Studies versus Experiments,False
VLSI Standard Cells Libraries for Digital Design Applications,False
Designing Firewalls for Network Security,False
The Essence of Continuity: Exploring Continuous Functions,False
Dense Storage Technologies: Next-Generation Solutions for Memory and Data Storage,False
Formal Specification and Verification of Trust Frameworks for Security Policies,False
"Nudge: Improving Decisions About Health, Wealth, and Happiness",True
Evaluation and Comparison of Open Source Software Libraries for Recommender Systems,False
Optimization Methods in Computer-Aided Design and Manufacturing,False
Natural Language Processing for Information Retrieval: Techniques for Document Searching and Classification,False
Conceptual Structures: Information Processing in Mind and Machine,True
Design of Analog CMOS Integrated Circuits,True
Secure Coding: Principles & Practices,True
A Structural Approach to Operational Semantics,True
Energy-Efficient Networking Protocols and Hardware for Wireless Integrated Network Sensors,False
Designing Enterprise Vocabularies for Organizational Knowledge Management,False
"Understanding IPv6: Addressing, Routing, and Internetworking",False
DNS and BIND: Help for System Administrators,True
"Designing Embedded Systems with the SIGNAL Programming Language: Synchronous, Reactive Specification",True
Operations Research for Robotic Systems: Applications in Computer Integrated Manufacturing,False
Query Expansion and Relevance Feedback Models in Information Retrieval,False
Taming Cyber-Physical Systems: from Theory to Practice,False
An Exploratory Study on Library Usage in Software Development,False
Ubiquitous Computing Fundamentals,True
Multimedia Learning,True
Open Source Software Development: A Collaborative and Social Process,False
Network Security Essentials: Applications and Standards,True
High-Performance Browser Networking,True
Advances in Non-Volatile Memory and Storage Technology,True
VLSI Design Techniques for Analog and Digital Circuits in Application-Specific Designs,False
Microscale and Nanoscale Heat Transfer: Fundamentals and Engineering Applications,True
Digital Logic Circuit Analysis and Design,True
Electronic Design Automation for Integrated Circuits Handbook,True
Using Computer-Managed Instructional Systems in Schools: A Practical Guide,False
Detecting and Preventing Social Engineering Network Intrusions,False
E-Learning and the Science of Instruction: Proven Guidelines for Consumers and Designers of Multimedia Learning,True
"Exploring Network Components: Switches, Hubs and Logical Nodes",False
A Mathematical Theory of Communication,True
Designing Interactive Systems for Collaborative and Social Computing: Principles and Practices,False
Evaluating the Accessibility of Online Resources: A User-Centered Approach,False
The Art of Software Security Assessment: Identifying and Preventing Software Vulnerabilities,True
"Design Reuse in Product Development Modeling, Analysis and Optimization",True
Nodes and Network Components in Communication Systems,False
Structural Bioinformatics: An Algorithmic Approach,True
Forensic Discovery,True
Self-Organizing Communication in Ad Hoc Networking,False
Parallel Algorithms for Matrix Computations,True
OAuth 2.0: A Framework for Secure and Scalable Authorization,False
Privacy-Preserving Attribute-Based Access Control in Cloud Computing,False
Self-Stabilization in Networked Control Systems,False
Digital Trade Rules and Big Tech: The WTO's role in regulating online power,False
Wireless Network Infrastructure: A Comprehensive Study of Components and Applications,False
Experimental Evaluation of Cross-Platform Mobile Development Tools,False
A Comparative Analysis of Enterprise Computing Reference Models,False
Network Security Through Firewalls: Concepts and Configuration,False
The Web Application Hacker's Handbook: Discovering and Exploiting Security Flaws,True
Learning to Rank for Information Retrieval: A Practical Overview,False
3D Modeling and Shape Analysis: The Mathematics of Surfaces,False
"Handbook of Formal Languages, Volume 1: Word, Language, Grammar",True
Energy-Efficient Cyber-Physical Systems: Challenges and Opportunities in Sensor Networks and IoT,False
